BlockNo;TreatmentNo;Number;Treatment;Start;End
1;1;1.1;BASS;13.02.2022 19:35;13.02.2022 22:35
1;2;1.2;Silent control 1;13.02.2022 22:35;14.02.2022 01:35
1;3;1.3;Silent control 2;14.02.2022 01:35;14.02.2022 04:35
2;3;2.1;Silent control 2;14.02.2022 04:35;14.02.2022 07:35
2;1;2.2;BASS;14.02.2022 07:35;14.02.2022 10:35
2;2;2.3;Silent control 1;14.02.2022 10:35;14.02.2022 13:35
3;3;3.1;Silent control 2;14.02.2022 13:35;14.02.2022 16:35
3;2;3.2;Silent control 1;14.02.2022 16:35;14.02.2022 19:35
3;1;3.3;BASS;14.02.2022 19:35;14.02.2022 22:35
4;3;4.1;Silent control 2;14.02.2022 22:35;15.02.2022 01:36
4;1;4.2;BASS;15.02.2022 01:36;15.02.2022 04:36
4;2;4.3;Silent control 1;15.02.2022 04:36;15.02.2022 07:36
5;1;5.1;BASS;15.02.2022 07:36;15.02.2022 10:36
5;2;5.2;Silent control 1;15.02.2022 10:36;15.02.2022 13:36
5;3;5.3;Silent control 2;15.02.2022 13:36;15.02.2022 16:36
6;3;6.1;Silent control 2;15.02.2022 16:36;15.02.2022 19:36
6;1;6.2;BASS;15.02.2022 19:36;15.02.2022 22:36
6;2;6.3;Silent control 1;15.02.2022 22:36;16.02.2022 01:36
7;2;7.1;Silent control 1;16.02.2022 14:35;16.02.2022 17:35
7;3;7.2;Silent control 2;16.02.2022 17:35;16.02.2022 20:35
7;1;7.3;BASS;16.02.2022 20:35;16.02.2022 23:40
8;1;8.1;BASS;16.02.2022 23:40;17.02.2022 03:11
8;2;8.3;Silent control 1;17.02.2022 03:11;17.02.2022 06:11
9;2;9.1;Silent control 1;17.02.2022 06:11;17.02.2022 09:11
9;1;9.2;BASS;17.02.2022 09:11;17.02.2022 12:12
10;2;10.2;Silent control 1;17.02.2022 12:12;17.02.2022 15:13
10;1;10.3;BASS;17.02.2022 15:13;17.02.2022 18:13
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
